CustomerID|EmployeeID|Freight|OrderDate|OrderID|ShipperID
19|3|64,55|31-12-2012|10465|2
15|2|77,44|01-10-2012|10466|2
49|6|34,95|01-10-2012|10467|1
39|9|56,09|01-02-2013|10468|2
89|3|61,04|05-10-2012|10469|2
37|3|72,95|06-10-2012|10470|2
11|2|26,66|06-10-2012|10471|2
23|6|61|07-10-2012|10472|1
38|3|37,32|08-10-2012|10473|2
58|8|29,44|07-12-2013|10474|2
19|3|34,69|11-07-2013|10475|2
35|3|60,61|12-10-2012|10476|2
60|5|50,67|13-12-2014|10477|1
84|4|28,49|15-06-2013|10478|1
63|8|30,01|14-10-2012|10479|2
23|6|26,41|15-10-2012|10480|1
67|2|48,38|14-02-2013|10481|2
23|6|44,07|16-10-2012|10482|1
89|2|36,66|18-11-2013|10483|2
59|5|34,67|20-11-2014|10484|1
47|9|42,6|22-06-2013|10485|2
35|9|75,83|03-07-2013|10486|2
62|2|58,3|21-10-2012|10487|2
25|8|41,02|22-10-2012|10488|2
59|5|58,26|22-11-2013|10489|1
35|9|56,23|27-10-2014|10490|2
28|4|49,27|26-10-2012|10491|1
44|8|31,75|27-10-2012|10492|2
82|1|21,74|28-10-2012|10493|3
15|9|26,06|28-10-2012|10494|2
42|1|46,62|15-07-2013|10495|3
81|2|65,67|28-11-2013|10496|2
44|8|56,31|28-11-2013|10497|2
35|3|48,66|02-12-2012|10498|2
46|9|38,53|03-01-2013|10499|2
41|5|53,28|03-01-2014|10500|1
6|7|26,97|05-07-2014|10501|2
58|8|75,02|05-01-2013|10502|2
37|3|29,87|06-01-2013|10503|2
89|9|37,89|06-01-2013|10504|2
51|1|35,9|09-01-2013|10505|3
39|9|66,45|10-01-2013|10506|2
3|3|37,11|13-07-2015|10507|2
56|8|60,12|11-01-2013|10508|2
6|7|54,96|11-01-2014|10509|2
1|7|50,87|11-02-2014|10510|2
82|1|30,11|12-02-2013|10511|3
21|2|24,02|17-07-2014|10512|2
32|1|53,37|17-02-2015|10513|3
82|1|40,04|16-02-2013|10514|3
63|8|66,26|18-12-2012|10515|2
37|9|78,18|18-02-2013|10516|2
37|9|37,44|21-05-2013|10517|2
80|1|27,16|19-02-2013|10518|3
37|9|43,11|15-07-2013|10519|2
37|3|31,78|25-03-2014|10520|2
12|2|49,83|24-12-2012|10521|2
44|8|38,79|25-12-2012|10522|2
19|3|64,15|25-12-2013|10523|2
5|3|55,42|28-08-2012|10524|2
59|4|72,37|29-03-2013|10525|1
1|8|72,33|02-03-2013|10526|2
63|8|50,43|03-03-2015|10527|2
32|1|25,64|01-12-2012|10528|3
50|5|40,32|05-07-2015|10529|1
59|4|41,07|05-07-2013|10530|1
54|3|21,39|06-03-2015|10531|2
19|9|78,04|07-03-2015|10532|2
24|7|39,08|09-03-2013|10533|2
44|7|61,57|09-07-2013|10534|2
3|9|47,43|10-06-2013|10535|2
44|7|58,11|10-01-2015|10536|2
68|6|36,46|09-12-2012|10537|1
17|7|28,79|10-02-2015|10538|2
63|8|54,18|13-03-2013|10539|2
63|8|71,42|14-11-2012|10540|2
34|9|75,44|16-04-2013|10541|2
39|3|30,09|17-04-2013|10542|2
46|3|23,11|16-11-2012|10543|2
48|1|66,34|18-04-2013|10544|3
43|1|36,41|19-04-2013|10545|3
84|4|37,46|18-11-2012|10546|1
17|7|72,72|17-01-2014|10547|2
79|7|20,88|22-01-2015|10548|2
63|8|60,32|23-11-2014|10549|2
30|4|78,79|24-05-2014|10550|1
28|4|46,26|23-11-2012|10551|1
35|3|46,85|26-05-2013|10552|2
19|9|74,82|25-11-2012|10553|2
56|7|29,16|26-12-2014|10554|2
23|6|50,88|28-12-2012|10555|1
73|3|70,9|29-12-2012|10556|2
44|7|76,7|01-06-2015|10557|2
23|6|77,38|01-05-2013|10558|1
7|4|34,85|02-09-2012|10559|1
25|8|67,88|03-05-2013|10560|2
79|8|54,79|03-07-2013|10561|2
32|1|45,52|06-06-2013|10562|3
19|9|30,63|07-06-2013|10563|2
42|1|35,94|07-08-2012|10564|3
51|1|77,13|08-06-2013|10565|3
7|4|51,88|09-06-2013|10566|1
37|9|40,24|27-12-2012|10567|2
29|4|78,77|10-06-2013|10568|1
44|8|30,02|13-08-2013|10569|2
51|1|61,99|11-01-2014|10570|3
20|4|70,13|11-01-2014|10571|1
5|3|35,9|12-01-2014|10572|2
3|9|52,32|13-01-2014|10573|2
82|1|71,84|15-07-2014|10574|3
44|7|73,98|16-05-2014|10575|2
80|1|31,24|17-01-2014|10576|3
82|1|33,52|17-01-2014|10577|3
11|3|61,67|20-05-2014|10578|2
45|1|64,13|19-01-2014|10579|3
56|7|75,2|20-01-2014|10580|2
21|3|45,26|20-01-2014|10581|2
73|3|32,96|23-04-2014|10582|2
87|7|62,91|24-01-2014|10583|2
4|2|43,48|30-01-2015|10248|2
79|7|29,2|29-01-2014|10249|2
34|2|79,17|03-02-2015|10250|2
1|7|43,41|04-07-2014|10251|2
76|5|23,2|05-11-2014|10252|1
34|3|66,54|05-02-2015|10253|2
19|2|49,18|08-08-2013|10254|2
68|6|43,89|08-01-2015|10255|1
19|3|22,56|08-02-2014|10256|2
35|9|33,98|09-02-2014|10257|2
17|7|68,14|12-02-2015|10258|2
13|3|30,11|12-02-2013|10259|2
56|8|56,99|15-07-2014|10260|2
61|2|63,78|14-02-2015|10261|2
65|2|33,19|18-12-2011|10262|2
63|7|30,64|18-02-2015|10263|2
17|7|54,09|17-02-2014|10264|2
7|5|28,57|18-02-2014|10265|1
87|8|32,72|21-02-2015|10266|2
25|8|49,7|25-08-2014|10267|2
33|3|69,28|25-02-2012|10268|2
89|3|54,26|26-11-2012|10269|2
87|7|21,29|27-02-2015|10270|2
37|2|62,31|09-07-2012|10271|2
65|3|40,25|28-12-2012|10272|2
63|7|78|01-05-2014|10273|2
85|5|35,09|04-03-2015|10274|1
73|9|29,81|03-03-2014|10275|2
80|1|22,95|05-05-2012|10276|3
1|7|77,65|07-03-2015|10277|2
5|2|50,46|09-03-2012|10278|2
44|7|46,34|09-03-2014|10279|2
5|3|38,06|11-07-2012|10280|2
69|4|21,86|10-03-2014|10281|1
69|5|22,03|11-03-2014|10282|1
46|2|66,34|14-03-2015|10283|2
44|7|65,41|15-03-2014|10284|2
63|8|71,59|17-03-2013|10285|2
63|8|42,17|17-01-2012|10286|2
67|2|70,97|18-01-2012|10287|2
66|6|77,13|19-03-2014|10288|1
1|8|25,25|22-03-2014|10289|2
1|7|58,77|25-03-2015|10290|2
61|2|21,08|24-03-2012|10291|2
81|2|78,59|24-03-2014|10292|2
80|1|76,28|25-01-2015|10293|3
19|2|35,17|26-11-2014|10294|2
79|7|71,49|31-03-2015|10295|2
46|2|22,4|02-02-2012|10296|2
7|4|52,73|30-11-2014|10297|1
37|2|78,52|02-04-2012|10298|2
67|3|73,71|02-04-2014|10299|2
49|6|71,44|06-04-2012|10300|1
37|9|21,92|05-04-2014|10301|2
32|1|48,81|05-11-2012|10302|3
30|5|63,01|07-11-2014|10303|1
80|1|69,84|06-11-2013|10304|3
80|1|66,61|11-04-2015|10305|3
69|5|67,37|14-07-2015|10306|1
48|1|60,66|14-04-2013|10307|3
2|2|52,09|14-04-2014|10308|2
37|3|71,58|13-10-2013|10309|2
32|1|37,33|15-11-2012|10310|3
18|6|22,76|18-04-2015|10311|1
37|3|76,68|17-11-2013|10312|2
63|7|66,69|20-04-2014|10313|2
73|3|49,41|19-11-2013|10314|2
38|9|28,88|20-12-2013|10315|2
23|6|38,95|24-04-2013|10316|1
48|1|24,58|25-11-2012|10317|3
73|9|58,04|29-04-2015|10318|2
80|1|54,41|29-08-2013|10319|3
87|8|44,05|29-04-2014|10320|2
38|3|39,56|29-11-2014|10321|2
58|7|24,83|02-05-2015|10322|2
39|3|73,01|04-07-2012|10323|2
19|2|42,61|02-12-2013|10324|2
39|3|43,29|04-12-2012|10325|2
8|5|65,69|06-05-2014|10326|1
19|3|65,53|08-07-2012|10327|2
28|5|20,61|08-01-2014|10328|1
75|1|75,98|12-07-2012|10329|3
46|3|30,44|12-07-2014|10330|2
9|5|70,49|12-05-2014|10331|1
51|1|22,5|15-05-2015|10332|3
87|7|56,23|14-11-2014|10333|2
84|5|41,01|14-02-2014|10334|1
37|9|46,91|16-11-2013|10335|2
60|4|30,45|19-05-2014|10336|1
25|8|76,43|20-11-2011|10337|2
1|8|52,33|22-05-2012|10338|2
51|1|58,76|25-05-2012|10339|3
32|1|63,37|23-12-2013|10340|3
73|3|30,83|27-05-2015|10341|2
25|7|77,29|28-05-2015|10342|2
44|8|60,85|28-08-2012|10343|2
89|2|22,69|29-05-2012|10344|2
63|7|68,67|01-07-2015|10345|2
37|9|23,56|01-06-2014|10346|2
21|2|28,29|03-06-2012|10347|2
86|7|34,34|03-12-2014|10348|2
1|7|79,64|04-06-2014|10349|2
37|3|67,66|08-07-2012|10350|2
42|1|65,12|08-06-2012|10351|3
28|5|57,21|10-07-2015|10352|1
59|5|33,28|11-06-2015|10353|1
58|7|25|10-12-2014|10354|2
37|3|75,77|11-11-2014|10355|2
86|7|43,26|15-08-2013|10356|2
46|2|65,97|15-01-2012|10357|2
82|1|61,24|16-11-2014|10358|3
72|9|59,44|15-12-2013|10359|2
7|5|75,08|24-01-2014|10584|1
1|7|79,86|27-06-2014|10585|2
82|1|57,06|28-06-2014|10586|3
61|3|35,34|26-01-2014|10587|2
63|7|25,1|27-01-2014|10588|2
32|1|72,58|28-01-2014|10589|3
51|1|66,64|31-01-2014|10590|3
127|3|49,54|03-05-2014|10591|2
44|8|67,96|04-07-2014|10592|2
44|7|44,62|05-07-2014|10593|2
80|1|68,55|05-07-2014|10594|3
79|7|44,79|03-02-2014|10595|2
89|3|57,12|04-02-2014|10596|2
59|4|37,63|08-08-2013|10597|1
32|1|36,64|07-02-2014|10598|3
11|9|71,49|08-02-2014|10599|2
59|4|36,98|12-07-2014|10600|1
35|3|44,73|09-02-2014|10601|2
82|1|47,74|10-02-2014|10602|3
17|8|28,49|11-02-2014|10603|2
23|6|65,51|14-06-2014|10604|1
51|1|56,22|14-02-2014|10605|3
81|2|77,76|18-07-2014|10606|2
32|1|28,5|16-01-2014|10607|3
79|8|67,94|16-02-2014|10608|2
18|6|52,39|18-01-2014|10609|1
41|4|67,44|18-02-2014|10610|1
91|8|38,74|18-02-2014|10611|2
19|3|66,44|22-10-2013|10612|2
35|9|65,88|22-02-2014|10613|2
19|3|60,78|22-02-2014|10614|2
79|8|71,09|26-06-2014|10615|2
32|1|66,7|24-02-2014|10616|3
32|1|40,88|24-02-2014|10617|3
51|1|38,44|28-03-2014|10618|3
51|1|75,31|28-02-2014|10619|3
42|1|79,96|29-09-2013|10620|3
1|8|60,94|01-03-2014|10621|2
80|1|42,88|02-03-2014|10622|3
25|7|25,5|31-01-2014|10623|2
19|3|61,04|03-07-2014|10624|2
2|3|24,44|04-07-2014|10625|2
5|9|25,36|07-03-2014|10626|2
1|7|64,75|07-03-2014|10627|2
7|5|59,28|06-12-2013|10628|1
30|4|56,71|08-03-2014|10629|1
39|3|61,52|09-04-2014|10630|2
44|8|32,07|10-03-2014|10631|2
86|7|63,3|10-03-2014|10632|2
23|6|40,81|09-11-2013|10633|1
23|6|52,12|11-03-2014|10634|1
49|6|43,47|12-01-2014|10635|1
79|7|59,71|15-03-2014|10636|2
62|3|20,01|15-03-2014|10637|2
47|2|75,11|16-03-2014|10638|2
70|3|73,3|16-03-2014|10639|2
86|8|53,05|17-03-2014|10640|2
35|9|38,27|18-03-2014|10641|2
73|3|42,65|18-03-2014|10642|2
1|8|67,91|21-06-2014|10643|2
32|1|28,61|21-03-2014|10644|3
34|9|46,54|22-03-2014|10645|2
37|3|58,82|23-05-2014|10646|2
61|3|32,08|23-03-2014|10647|2
59|5|44,22|22-12-2013|10648|1
50|5|60,92|24-03-2014|10649|1
21|3|67,71|25-04-2014|10650|2
37|9|59,87|28-03-2014|10651|2
31|3|53,6|28-07-2014|10652|2
25|7|58,95|27-12-2013|10653|2
5|3|61,64|27-10-2013|10654|2
23|6|61,06|30-03-2014|10655|1
32|1|21,31|30-06-2014|10656|3
32|1|74,96|31-03-2014|10657|3
63|7|31,17|01-07-2014|10658|2
62|2|65,19|29-11-2013|10659|2
19|9|29,65|04-04-2014|10660|2
37|3|63,6|05-04-2014|10661|2
48|1|37,12|05-04-2014|10662|3
23|6|47,54|06-07-2014|10663|1
79|8|56,3|06-05-2014|10664|2
48|1|37,6|07-04-2014|10665|3
68|6|71,03|08-04-2014|10666|1
20|5|37,26|08-04-2014|10667|1
86|8|22,86|09-10-2013|10668|2
73|3|33,74|11-04-2014|10669|2
25|7|26,27|12-04-2014|10670|2
26|7|23,05|11-01-2014|10671|2
5|3|59,59|13-04-2014|10672|2
19|9|46,29|12-12-2013|10673|2
63|7|43,34|14-04-2014|10674|2
25|8|77,22|13-12-2013|10675|2
80|1|49,84|18-06-2014|10676|3
3|9|62,67|18-04-2014|10677|2
37|9|76,87|20-08-2013|10678|2
7|5|62,06|19-04-2014|10679|1
42|1|79,63|18-01-2014|10680|3
32|1|73,33|19-12-2013|10681|3
3|3|54,83|21-04-2014|10682|2
18|6|47,1|22-04-2014|10683|1
56|7|38,97|22-04-2014|10684|2
31|2|73,2|25-06-2014|10685|2
59|5|44,19|26-04-2014|10686|1
37|3|55,58|26-04-2014|10687|2
127|3|50,83|25-11-2013|10688|2
5|9|52,19|25-11-2013|10689|2
34|9|47,52|28-04-2014|10690|2
63|7|34,85|27-01-2014|10691|2
1|8|22,22|27-11-2013|10692|2
89|2|25,54|02-05-2014|10693|2
63|7|31,5|02-05-2014|10694|2
37|9|40,99|01-01-2014|10695|2
89|3|40,47|04-05-2014|10696|2
47|3|32,34|02-01-2014|10697|2
80|1|68,35|05-05-2014|10698|3
52|7|69,3|05-05-2014|10699|2
23|6|56,88|04-12-2013|10700|1
37|9|34,44|09-05-2014|10701|2
1|7|59,39|09-07-2014|10702|2
24|8|52,83|10-05-2014|10703|2
62|2|64,83|10-05-2014|10704|2
35|9|53,85|09-12-2013|10705|2
17|8|43,08|10-12-2013|10706|2
80|1|76,35|12-05-2014|10707|3
79|8|28,19|13-06-2014|10708|2
31|3|22,66|13-05-2014|10709|2
27|6|21,49|16-05-2014|10710|1
1|8|48,73|17-05-2014|10711|2
37|3|23,09|17-05-2014|10712|2
19|9|74,75|18-05-2014|10713|2
32|1|45,54|18-05-2014|10714|3
9|5|72,7|19-05-2014|10715|1
64|2|61,82|18-11-2013|10716|2
25|8|52,7|20-06-2014|10717|2
39|3|31,17|21-11-2013|10718|2
45|1|43,69|23-05-2014|10719|3
32|1|21,15|22-12-2013|10720|3
63|8|62,62|25-05-2014|10721|2
37|9|71,33|23-12-2013|10722|2
89|2|37,82|26-05-2014|10723|2
51|1|25,96|26-05-2014|10724|3
21|3|73,38|27-05-2014|10725|2
19|3|63,55|30-05-2014|10726|2
80|1|31,78|30-05-2014|10727|3
62|3|31,39|31-05-2014|10728|2
47|2|67,48|28-11-2013|10729|2
80|1|76,2|30-12-2013|10730|3
44|7|43,34|31-12-2013|10731|2
1|7|48|02-06-2014|10732|2
5|9|45,37|04-09-2013|10733|2
31|9|34,9|03-06-2014|10734|2
17|7|42,52|06-06-2014|10735|2
37|9|63,69|07-06-2014|10736|2
19|3|63,14|07-06-2014|10737|2
74|4|43,51|06-01-2014|10738|1
19|9|65,96|08-06-2014|10739|2
89|3|25,96|07-01-2014|10740|2
4|9|70,43|10-06-2014|10741|2
37|3|37,65|08-11-2013|10742|2
1|8|23,05|13-06-2014|10743|2
79|7|54,2|13-06-2014|10744|2
63|8|57,2|12-01-2014|10745|2
82|1|34,33|15-06-2014|10746|3
59|5|51,06|13-12-2013|10747|1
1|7|28,47|16-06-2014|10748|2
32|1|46,19|16-06-2014|10749|3
1|8|77,41|15-11-2013|10750|2
37|3|31,69|18-01-2014|10751|2
53|2|50,65|18-12-2013|10752|2
27|6|52,47|21-06-2014|10753|1
49|6|38,01|21-06-2014|10754|1
59|5|24|22-06-2014|10755|1
32|1|75,84|21-11-2013|10756|3
1|7|60,34|21-11-2013|10757|2
32|1|33,57|25-08-2013|10758|3
2|2|31,1|24-06-2014|10759|2
50|4|49,79|25-01-2014|10760|1
19|9|74,71|28-06-2014|10761|2
80|1|76,47|28-06-2014|10762|3
23|6|75,34|27-11-2013|10763|1
1|8|73,7|29-06-2014|10764|2
63|7|40,93|30-06-2014|10765|2
56|8|40,63|29-01-2014|10766|2
76|4|78,21|01-07-2014|10767|1
59|5|48,05|02-11-2013|10768|1
19|3|44,92|04-07-2014|10769|2
34|3|75,12|05-07-2014|10770|2
20|5|69,82|06-07-2014|10771|1
44|8|22,82|06-07-2014|10772|2
59|5|62,36|05-12-2013|10773|1
24|8|36,46|05-12-2013|10774|2
73|3|55,07|08-07-2014|10775|2
17|7|45,01|11-07-2014|10776|2
31|3|37,72|11-07-2014|10777|2
5|9|32,8|12-07-2014|10778|2
82|1|32,38|10-12-2013|10779|3
46|3|23,35|12-07-2014|10780|2
44|8|25,14|13-07-2014|10781|2
12|9|42,38|11-01-2014|10782|2
34|3|67,56|12-01-2014|10783|2
49|6|39,12|11-02-2014|10784|1
33|9|60,35|14-07-2014|10785|2
62|3|27,74|15-07-2014|10786|2
73|9|23,04|15-07-2014|10787|2
63|8|69,96|18-07-2014|10788|2
23|6|31,92|16-01-2014|10789|1
31|3|73,17|18-07-2014|10790|2
25|8|47,97|19-07-2014|10791|2
91|8|25,3|16-02-2014|10792|2
17|8|66,11|20-07-2014|10793|2
19|3|64,91|20-06-2014|10794|2
63|7|23,98|18-01-2014|10795|2
35|3|67,39|21-01-2015|10796|2
17|8|79,24|23-07-2015|10797|2
38|9|72,95|22-12-2014|10798|2
39|9|38,38|22-01-2015|10799|2
37|9|51,05|24-07-2015|10800|2
8|4|74,91|27-07-2015|10801|1
73|9|74,76|27-04-2015|10802|2
73|3|36,49|28-07-2015|10803|2
19|3|25,71|26-08-2014|10804|2
23|6|53,7|26-10-2014|10805|1
84|4|38,16|29-07-2015|10806|1
27|6|47,88|27-01-2015|10807|1
19|3|25,87|30-07-2015|10808|2
79|7|24,92|30-07-2015|10809|2
42|1|58,1|30-07-2015|10810|3
47|3|40,63|29-01-2015|10811|2
1|7|28,2|29-11-2014|10812|2
1|8|53,36|03-07-2015|10813|2
84|4|76,36|01-08-2014|10814|1
37|3|45,86|01-08-2014|10815|2
32|1|31,89|01-02-2015|10816|3
39|3|52,68|01-02-2015|10817|2
49|6|58,64|02-02-2015|10818|1
12|2|42,97|03-01-2015|10819|2
65|3|66,11|02-02-2015|10820|2
75|1|78,52|04-12-2014|10821|3
82|1|67,33|03-02-2015|10822|3
46|9|53,04|05-08-2014|10823|2
17|7|26,47|05-08-2014|10824|2
17|8|60,79|04-02-2015|10825|2
7|4|68,66|10-07-2015|10826|1
17|7|59,59|08-11-2014|10827|2
59|4|78,73|09-08-2014|10828|1
38|9|67,88|09-08-2014|10829|2
81|2|64,98|09-12-2014|10830|2
32|1|78,1|09-02-2015|10831|3
41|5|30,97|10-08-2014|10832|1
56|8|76,36|11-12-2014|10833|2
81|3|66,49|10-02-2015|10834|2
1|7|45,71|11-08-2014|10835|2
42|1|76,57|11-02-2015|10836|3
5|9|25,42|12-08-2014|10837|2
47|9|45,91|15-12-2014|10838|2
81|9|53,41|15-12-2014|10839|2
47|9|60,14|15-01-2015|10840|2
73|9|43,65|16-08-2014|10841|2
80|1|54,66|15-02-2015|10842|3
84|4|46,32|17-08-2014|10843|1
59|4|69,16|17-11-2014|10844|1
63|7|47,94|16-02-2015|10845|2
76|4|57,51|18-08-2014|10846|1
80|1|29,84|18-01-2015|10847|3
16|3|64,28|21-06-2015|10848|2
39|9|39,15|19-08-2014|10849|2
84|4|58,8|19-08-2014|10850|1
42|1|30,43|24-04-2015|10851|3
1|8|68|22-08-2014|10852|2
6|8|48,8|23-08-2014|10853|2
20|5|70,27|23-08-2014|10854|1
32|1|48,14|23-01-2015|10855|3
3|9|39,03|24-08-2014|10856|2
5|3|38,51|23-02-2015|10857|2
40|5|71,69|25-08-2014|10858|1
25|8|64,1|25-09-2014|10859|2
26|7|51,61|25-08-2014|10860|2
89|3|44,72|26-12-2014|10861|2
44|7|76,44|26-08-2014|10862|2
35|9|52,24|28-02-2015|10863|2
4|3|32,43|29-01-2015|10864|2
63|8|23,51|29-01-2015|10865|2
5|3|46,54|30-10-2014|10866|2
48|1|37,25|01-03-2015|10867|3
62|3|24,03|30-09-2014|10868|2
32|1|44,38|02-03-2015|10869|3
91|8|23,47|31-10-2014|10870|2
63|8|54,62|01-01-2015|10871|2
30|5|22,92|03-07-2015|10872|1
32|1|40,54|02-01-2015|10873|3
88|2|21,48|02-09-2014|10874|2
5|9|51,98|02-01-2015|10875|2
9|4|26,13|07-03-2015|10876|1
67|3|44,17|04-02-2015|10877|2
63|7|55,53|08-03-2015|10878|2
79|7|69,5|06-09-2014|10879|2
24|7|74,98|06-09-2014|10880|2
12|3|43,45|09-03-2015|10881|2
59|4|52,68|07-11-2014|10882|1
63|7|58,13|10-03-2015|10883|2
19|9|43,67|07-02-2015|10884|2
76|4|48,54|10-03-2015|10885|1
34|3|30,11|09-11-2014|10886|2
29|5|77,14|11-03-2015|10887|1
30|5|32,12|12-10-2014|10888|1
73|3|64,34|14-03-2015|10889|2
18|6|57,94|12-11-2014|10890|1
44|8|77,77|15-03-2015|10891|2
73|3|40,44|13-09-2014|10892|2
39|9|68,97|14-09-2014|10893|2
17|7|42,05|16-03-2015|10894|2
19|9|37,91|14-11-2014|10895|2
50|4|56,57|15-10-2014|10896|1
37|9|47,05|17-03-2015|10897|2
54|3|29,47|16-09-2014|10898|2
46|3|25,47|18-03-2015|10899|2
73|9|32,36|16-09-2014|10900|2
35|3|21,92|21-03-2015|10901|2
24|7|67,01|19-09-2014|10902|2
34|3|37,24|22-03-2015|10903|2
89|3|72,68|20-09-2014|10904|2
1|7|60,73|20-12-2014|10905|2
91|8|44,09|23-03-2015|10906|2
74|4|72,85|21-09-2014|10907|1
44|7|73,21|24-03-2015|10908|2
1|8|77,43|22-12-2014|10909|2
90|9|30,08|24-03-2015|10910|2
30|5|35,87|22-12-2014|10911|1
37|3|59,74|24-03-2015|10912|2
62|3|40,33|22-09-2014|10913|2
62|3|72,38|25-03-2015|10914|2
80|1|24,52|23-09-2014|10915|3
17|8|72,45|23-11-2014|10916|2
69|5|21,46|26-09-2014|10917|1
82|1|34,42|04-03-2015|10918|3
47|3|58,44|26-09-2014|10919|2
63|8|49,83|29-03-2015|10920|2
127|3|53,78|27-11-2014|10921|2
34|9|69,37|29-03-2015|10922|2
41|4|76,9|26-02-2015|10923|1
5|3|31,99|30-09-2014|10924|2
34|9|67,89|30-09-2014|10925|2
2|3|59,53|02-03-2015|10926|2
40|5|26,94|03-04-2015|10927|1
29|4|76,32|01-10-2014|10928|1
25|8|26,25|01-12-2014|10929|2
82|1|47,7|04-07-2015|10930|3
68|6|54,14|02-10-2014|10931|1
42|1|37,35|02-12-2014|10932|3
19|3|32,82|02-10-2014|10933|2
44|7|57,17|07-06-2015|10934|2
82|1|45,44|05-12-2014|10935|3
32|1|57,08|05-10-2014|10936|3
12|9|49,25|06-12-2014|10937|2
63|7|30,44|08-03-2015|10938|2
49|6|34,2|06-10-2014|10939|1
73|9|70,49|09-04-2015|10940|2
32|1|69,94|09-03-2015|10941|3
66|6|65,71|07-01-2015|10942|1
42|1|30,3|07-10-2014|10943|3
79|8|71,52|08-10-2014|10944|2
