Discount|OrderID|ProductID|Quantity|UnitPrice
0,05|10275|24|12|4,12
0,05|10275|59|6|8,92
0|10276|10|15|6,92
0|10276|13|10|27,45
0|10277|28|20|44,48
0|10277|62|12|30,08
0|10278|44|16|80,78
0|10278|59|15|8,57
0|10278|63|8|21,02
0|10278|73|25|1,07
0,25|10279|17|15|27,02
0|10280|24|12|4,25
0|10280|55|20|42,47
0|10280|75|30|7,21
0|10281|19|1|9,9
0|10281|24|6|4,18
0|10281|35|4|6,37
0|10282|30|6|26,38
0|10282|57|2|21,02
0|10283|15|20|6,53
0|10283|19|18|9,18
0|10283|60|35|5,18
0|10283|72|3|11,66
0,25|10284|27|15|43,03
0|10284|44|21|68,37
0,25|10284|60|20|4,73
0,25|10284|67|5|64,07
0,2|10285|1|45|19,72
0,2|10285|40|40|17,22
0,2|10285|53|36|60,96
0|10286|35|100|6,06
0|10286|62|40|30,28
0,15|10287|16|40|8,88
0|10287|34|20|7,67
0,15|10287|46|15|12,23
0,1|10288|54|10|33,62
0,1|10288|68|3|11,76
0|10289|3|30|20,54
0|10289|64|9|35,6
0|10290|5|20|6,57
0|10290|29|15|126,03
0|10290|49|15|19,66
0|10290|77|10|13,49
0,1|10291|13|20|23,03
0,1|10291|44|24|82,68
0,1|10291|51|2|106,56
0|10292|20|20|84,07
0|10293|18|12|27,38
0|10293|24|10|4,11
0|10293|63|5|21,06
0|10293|75|6|7,6
0|10294|1|18|21,66
0|10294|17|15|24,62
0|10294|43|15|12,9
0|10294|60|21|4,56
0|10294|75|6|8,22
0|10295|56|4|34,84
0|10296|11|12|26,62
0|10296|16|30|9,36
0|10296|69|15|1,89
0|10297|39|60|59,35
0|10297|72|20|11,95
0|10298|2|40|17,54
0,25|10298|36|40|7,34
0,25|10298|59|30|9,15
0|10298|62|15|28
0|10299|19|15|9,17
0|10299|70|20|29,08
0|10300|66|30|19,89
0|10300|68|20|11,27
0|10301|40|10|18,33
0|10301|56|20|39,17
0|10302|17|40|25,65
0|10302|28|28|42,81
0|10302|43|12|10,82
0,1|10303|40|40|17,62
0,1|10303|65|30|10,78
0,1|10303|68|15|12,77
0|10304|49|30|19,79
0|10304|59|10|7,91
0|10304|71|2|29,76
0,1|10305|18|25|27,56
0,1|10305|29|25|113,94
0,1|10305|39|30|57,25
0|10306|30|10|28,02
0|10306|53|10|61,11
0|10306|54|5|37,88
0|10307|62|10|27,27
0|10307|68|3|12,82
0|10308|69|1|2,12
0|10308|70|5|29,55
0|10309|4|20|21,64
0|10309|6|30|3,69
0|10309|42|2|13,62
0|10309|43|20|11,87
0|10309|71|3|29,76
0|10310|16|10|8,53
0|10310|62|5|32,19
0|10311|42|6|14,93
0|10311|69|7|1,98
0|10312|28|4|49,17
0|10312|43|24|13,11
0|10312|53|20|63,23
0|10312|75|10|7,63
0|10313|36|12|8,47
0,1|10314|32|40|19,88
0,1|10314|58|30|43,97
0,1|10314|62|25|31,43
0|10315|34|14|8,38
0|10315|70|30|29,13
0|10316|41|10|8,96
0|10316|62|70|29,33
0|10317|1|20|18,12
0|10318|41|20|9,56
0|10318|76|6|369,16
0|10319|17|8|26,23
0|10319|28|14|48,77
0|10319|76|30|403,97
0|10320|71|30|31,42
0|10321|35|10|5,43
0|10322|52|20|78,02
0|10323|15|5|6,12
0|10323|25|4|14,34
0|10323|39|4|61,21
0,15|10324|16|21|8,77
0,15|10324|35|70|5,62
0|10324|46|30|12,15
0,15|10324|59|40|8,31
0,15|10324|63|80|20,59
0|10325|6|6|3,71
0|10325|13|12|23,09
0|10325|14|9|21,14
0|10325|31|4|7,8
0|10325|72|40|10,96
0|10326|4|24|19,84
0|10326|57|16|17,94
0|10326|75|50|8,12
0,2|10327|2|25|19,22
0,2|10327|11|50|29,1
0,2|10327|30|35|24,02
0,2|10327|58|30|43,97
0|10328|59|9|8,39
0|10328|65|40|10,36
0|10328|68|10|12,13
0,05|10329|19|10|8,5
0,05|10329|30|8|24,61
0,05|10329|38|20|77,36
0,05|10329|56|12|40,13
0,15|10330|26|50|32,74
0,15|10330|72|25|10,84
0|10331|54|15|37,97
0,2|10332|18|40|24,82
0,2|10332|42|10|15,13
0,2|10332|47|16|24,57
0|10333|14|10|24,87
0,1|10333|21|10|10,5
0,1|10333|71|40|31,01
0|10334|52|8|72,76
0|10334|68|10|12,74
0,2|10335|2|7|19,51
0,2|10335|31|25|8,48
0,2|10335|32|6|18,64
0,2|10335|51|48|104,29
0,1|10336|4|18|23,23
0|10337|23|40|9
0|10337|26|24|33,55
0|10337|36|20|7,99
0|10337|37|28|3,9
0|10337|72|25|12,03
0|10338|17|20|26,24
0|10338|30|15|25,4
0|10339|4|10|21,32
0,05|10339|17|70|24,46
0|10339|62|28|30,61
0,05|10340|18|20|24,3
0,05|10340|41|12|9,13
0,05|10340|43|40|11,93
0|10341|33|8|26,45
0,15|10341|59|9|8,27
0,2|10342|2|24|19,66
0,2|10342|31|56|8,72
0,2|10342|36|40|7,56
0,2|10342|55|40|37,52
0|10343|64|50|33,95
0,05|10343|68|4|11,55
0|10343|76|15|390,82
0|10344|4|35|20,78
0,25|10344|8|70|19,4
0|10345|8|70|20,46
0|10345|19|80|10,08
0|10345|42|9|15,19
0,1|10346|17|36|24,71
0|10346|56|20|40,51
0|10347|25|10|13,21
0,15|10347|39|50|58,72
0|10347|40|4|17
0,15|10347|75|6|7,75
0,15|10348|1|15|19,41
0|10348|23|25|9,23
0|10349|54|24|34,18
0,1|10350|50|15|16,49
0,1|10350|69|18|1,83
0,05|10351|38|20|75,04
0|10351|41|13|10,42
0,05|10351|44|77|73,74
0,05|10351|65|10|10,08
0|10352|24|10|4,73
0,15|10352|54|20|37,9
0,2|10353|11|12|29,75
0,2|10353|38|50|75,4
0|10354|1|12|21,65
0|10354|29|4|130,34
0|10355|24|25|4,66
0|10355|57|25|17,7
0|10356|31|30|9,22
0|10356|55|12|40,65
0|10356|69|20|2,05
0,2|10357|10|30|6,51
0|10357|26|16|29,44
0,2|10357|60|8|4,86
0,05|10358|24|10|4,24
0,05|10358|34|10|8,26
0,05|10358|36|20|7,61
0,05|10359|16|56|10,24
0,05|10359|31|70|8,7
0,05|10359|60|80|5,46
0|10360|28|30|42,07
0|10360|29|35|135,76
0|10360|38|10|80,74
0|10360|49|35|18,29
0|10360|54|28|36,73
0,1|10361|39|54|60,54
0,1|10361|60|55|4,67
0|10362|25|50|15,04
0|10362|51|20|109,79
0|10362|54|24|37,07
0|10363|31|20|9,3
0|10363|75|12|8,06
0|10363|76|12|432,53
0|10364|69|30|2,05
0|10364|71|5|29,73
0|10365|11|24|29,48
0|10366|65|5|9,12
0|10366|77|5|12,71
0|10367|34|36|7,56
0|10367|54|18|37,37
0|10367|65|15|9,41
0|10367|77|7|14,23
0,1|10368|21|5|10,53
0,1|10368|28|13|47,47
0|10368|57|25|18,05
0,1|10368|64|35|32,34
0|10369|29|20|117,78
0,25|10369|56|18|39,42
0,15|10370|1|15|21,56
0|10370|64|30|34,02
0,15|10370|74|20|32,64
0,2|10371|36|6|7,77
0,25|10372|20|12|81,24
0,25|10372|38|40|77,94
0,25|10372|60|70|5,3
0,25|10372|72|42|10,75
0,2|10373|58|80|53,07
0,2|10373|71|50|31,79
0|10374|31|30|9,11
0|10374|58|15|51,57
0|10375|14|15|21,59
0|10375|54|10|32,95
0,05|10376|31|42|7,74
0,15|10377|28|20|41,18
0,15|10377|39|20|59,78
0|10378|71|6|28,19
0,1|10379|41|8|9,33
0,1|10379|63|16|20,35
0,1|10379|65|20|10
0,1|10380|30|18|25,51
0,1|10380|53|20|60,96
0,1|10380|60|6|4,8
0|10380|70|30|27,15
0|10381|74|14|30,59
0|10382|5|32|5,62
0|10382|18|9|26,78
0|10382|29|14|129,38
0|10382|33|60|27,49
0|10382|74|50|27,21
0|10383|13|20|26,18
0|10383|50|15|15,43
0|10383|56|20|41,32
0|10384|20|28|86,51
0|10384|60|15|5,32
0,2|10385|7|10|36,13
0,2|10385|60|20|4,99
0,2|10385|68|8|13,65
0|10386|24|15|4,11
0|10386|34|10|8,48
0|10387|24|15|4,85
0|10387|28|6|47,51
0|10387|59|12|8,87
0|10387|71|15|28,99
0,2|10388|45|15|8,7
0,2|10388|52|20|82,65
0|10388|53|40|62,79
0|10389|10|16|6,33
0|10389|55|15|37,49
0|10389|62|20|31,68
0|10389|70|30|27,96
0,1|10390|31|60|9,03
0,1|10390|35|40|6,56
0|10390|46|45|10,83
0,1|10390|72|24|10,94
0|10391|13|18|23,12
0|10392|69|50|2,09
0,25|10393|2|25|19,17
0,25|10393|14|42|21,83
0,25|10393|25|7|14,42
0,25|10393|26|70|31,42
0|10393|31|32|8,05
0|10394|13|10|27,04
0|10394|62|10|26,67
0,1|10395|46|28|11,62
0,1|10395|53|70|66,36
0|10395|69|8|1,87
0|10396|23|40|8,6
0|10396|71|60|29,67
0|10396|72|21|10,96
0,15|10397|21|10|10,71
0,15|10397|51|18|100,92
0|10398|35|30|5,45
0,1|10398|55|120|37,39
0|10399|68|60|13,24
0|10399|71|30|27,66
0|10399|76|35|381,91
0|10399|77|14|12,01
0|10400|29|21|121,65
0|10400|35|35|5,8
0|10400|49|30|21,55
0|10401|30|18|26,07
0|10401|56|70|40,06
0|10401|65|20|9,06
0|10401|71|60|30,39
0|10402|23|60|9,07
0|10402|63|65|18,94
0,15|10403|16|21|10,15
0,15|10403|48|70|31,83
0,05|10404|26|30|33,93
0,05|10404|42|40|13,37
0,05|10404|49|30|19,82
0|10405|3|50|18,48
0|10406|1|10|19,76
0,1|10406|21|30|10,51
0,1|10406|28|42|47,34
0,1|10406|36|5|7,88
0,1|10406|40|2|18,93
0|10407|11|30|25,52
0|10407|69|15|2,11
0|10407|71|15|32,33
0|10408|37|10|3,92
0|10408|54|6|34,09
0|10408|62|35|31,11
0|10409|14|12|24,58
0|10409|21|12|10,96
0|10410|33|49|25,96
0|10410|59|16|9,32
0,2|10411|41|25|9,24
0,2|10411|44|40|68,72
0,2|10411|59|9|9,16
0,1|10412|14|20|25,49
0|10413|1|24|21,01
0|10413|62|40|30,37
0|10413|76|14|414,96
0,05|10414|19|18|8,8
0|10414|33|50|25,81
0|10415|17|2|22,67
0|10415|33|20|25,84
0|10416|19|20|9,38
0|10416|53|10|55,32
0|10416|57|20|18,74
0|10417|38|50|79,21
0,25|10417|46|2|12,62
0,25|10417|68|36|12,56
0|10417|77|35|13,3
0|10418|2|60|19,41
0|10418|47|55|25,65
0|10418|61|16|24,3
0|10418|74|15|30,91
0,05|10419|60|60|4,59
0,05|10419|69|20|1,87
0,1|10420|9|20|36,68
0,1|10420|13|2|26,88
0,1|10420|70|8|31,37
0,1|10420|73|20|1,08
0,15|10421|19|4|9,14
0|10421|26|30|31,86
0,15|10421|53|15|55,9
0,15|10421|77|10|12,03
0|10422|26|2|28,33
0|10423|31|14|7,69
0|10423|59|20|8,92
0,2|10424|35|60|5,55
0,2|10424|38|49|86,2
0,2|10424|68|30|12,52
0,25|10425|55|10|36,04
0,25|10425|76|20|361,43
0|10426|56|5|36,29
0|10426|64|7|33,32
0|10427|14|35|24,33
0|10428|46|20|12,07
0|10429|50|40|17,15
0,25|10429|63|35|21,75
0,2|10430|17|45|22,54
0|10430|21|50|10,26
0|10430|56|30|36,25
0,2|10430|59|70|8,56
0,25|10431|17|50|25,37
0,25|10431|40|50|17,9
0,25|10431|47|30|26,99
0|10432|26|10|30,04
0|10432|54|40|34,12
0|10433|56|28|38,31
0|10434|11|6|26,13
0,15|10434|76|18|431,49
0|10435|2|10|20,05
0|10435|22|12|3,75
0|10435|72|10|12,6
0|10436|46|5|12,85
0,1|10436|56|40|37,76
0,1|10436|64|30|36,34
0,1|10436|75|24|7,18
0|10437|53|15|58,17
0,2|10438|19|15|9,52
0,2|10438|34|20|7,48
0,2|10438|57|15|20,3
0|10439|12|15|10,22
0|10439|16|16|9,98
0|10439|64|6|35,02
0|10439|74|30|32,85
0,15|10440|2|45|20,22
0,15|10440|16|49|9,24
0,15|10440|29|24|129,15
0,15|10440|61|90|25,95
0|10441|27|50|44,25
0|10442|11|30|30,64
0|10442|54|80|36,42
0|10442|66|60|19,48
0,2|10443|11|6|26,71
0|10443|28|12|43,52
0|10444|17|10|27
0|10444|26|15|30,97
0|10444|35|8|5,7
0|10444|41|30|9,19
0|10445|39|6|58,57
0|10445|54|15|35,32
0,1|10446|19|12|9,26
0,1|10446|24|20|4,21
0,1|10446|31|3|8,27
0,1|10446|52|15|76,76
0|10447|19|40|8,53
0|10447|65|35|10,48
0|10447|71|2|28,54
0|10448|26|6|32,53
0|10448|40|20|18,65
0|10449|10|14|6,99
0|10449|52|20|87,98
0|10449|62|35|29,84
0,2|10450|10|20|7,64
0,2|10450|54|6|35,22
0,1|10451|55|120|40,03
0,1|10451|64|35|35,94
0,1|10451|65|28|10,66
0,1|10451|77|55|12,51
0|10452|28|15|49,09
0,05|10452|44|100|80,91
0,1|10453|48|15|35,9
0,1|10453|70|25|30,43
0,2|10454|16|20|8,88
0,2|10454|33|20|27,87
0,2|10454|46|10|11,97
0|10455|39|20|64,89
0|10455|53|50|62,31
0|10455|61|25|26,75
0|10455|71|30|27,85
0,15|10456|21|40|9,19
0,15|10456|49|21|20,08
0|10457|59|36|7,85
0|10458|26|30|28,21
0|10458|28|30|48,19
0|10458|43|20|12,64
0|10458|56|15|40,32
0|10458|71|50|30,04
0,05|10459|7|16|39,04
0,05|10459|46|20|11,98
0|10459|72|40|12,81
0,25|10460|68|21|11,83
0,25|10460|75|4|7,92
0,25|10461|21|40|9,86
0,25|10461|30|28|27,29
0,25|10461|55|60|35,24
0|10462|13|1|27,09
0|10462|23|21|8,5
0|10463|19|21|9,67
0|10463|42|50|14,86
0,2|10464|4|16|22,39
0|10464|43|3|11,18
0,2|10464|56|30|39,37
0|10464|60|20|5,18
0|10465|24|25|4,41
0,1|10465|29|18|133,68
0|10465|40|20|19,35
0,1|10465|45|30|10,29
0|10465|50|25|15,13
0|10466|11|10|25,73
0|10466|46|5|11,85
0|10467|24|28|4,6
0|10467|25|12|13,46
0|10468|30|8|23,55
0|10468|43|15|11,59
0,15|10469|2|40|17,56
0,15|10469|16|35|9,56
0,15|10469|44|2|68,18
0|10470|18|30|25,19
0|10470|23|15|8,91
0|10470|64|8|36,39
0|10471|7|30|39,74
0|10471|56|20|39,82
0,05|10472|24|80|4,19
0|10472|51|18|90,69
0|10473|33|12|26,59
0|10473|71|12|32,62
0|10474|14|12|24,65
0|10474|28|18|43,87
0|10474|40|21|17,82
0|10474|75|10|7,63
0,15|10475|31|35|9,31
0,15|10475|66|60|17,24
0,15|10475|76|42|414,95
0,05|10476|55|2|37,64
0|10476|70|12|26,14
0|10477|1|15|21,11
0,25|10477|21|21|9,02
0,25|10477|39|20|57,1
0,05|10478|10|20|6,6
0|10479|38|30|83,07
0|10479|53|28|65,47
0|10479|59|60|8,22
0|10479|64|30|34,83
0|10480|47|30|26,01
0|10480|59|12|8,14
0|10481|49|24|18,95
0|10481|60|40|5,12
0|10482|40|10|17,59
0,05|10483|34|35|8
0,05|10483|77|30|14,07
0|10484|21|14|9,58
0|10484|40|10|18,4
0|10484|51|3|90,96
0,1|10485|2|20|17,44
0,1|10485|3|20|21,68
0,1|10485|55|30|35,21
0,1|10485|70|60|26,8
0|10486|11|5|28,38
0|10486|51|25|96,85
0|10486|74|16|27,49
0|10487|19|5|9,69
0|10487|26|30|33,4
0,25|10487|54|24|33,61
0|10488|59|30|8,8
0,2|10488|73|20|1,21
0,25|10489|11|15|28,24
0|10489|16|18|8,88
0|10490|59|60|8,64
0|10490|68|30|13,29
0|10490|75|36|7,5
0,15|10491|44|15|82,34
0,15|10491|77|7|14,2
0,05|10492|25|60|13,78
0,05|10492|42|20|13,82
0,1|10493|65|15|9,49
0,1|10493|66|10|19,93
0,1|10493|69|10|1,87
0|10494|56|30|35,37
0|10495|23|10|8,33
0|10495|41|20|10,22
0|10495|77|5|13,12
0,05|10496|31|20|8,17
0|10497|56|14|41,39
0|10497|72|25|11,12
0|10497|77|25|12,12
0|10498|24|14|4,9
0|10498|40|5|18
0|10498|42|30|15,1
0|10499|28|20|43,64
0|10499|49|25|19,06
0,05|10500|15|12|6,43
0,05|10500|28|8|46,92
0|10501|54|20|37,79
0|10502|45|21|10
0|10502|53|6|66,83
0|10502|67|30|63,32
0|10503|14|70|24,91
0|10503|65|20|9,87
0|10504|2|12|20,5
0|10504|21|12|10,75
0|10504|53|10|62,32
0|10504|61|25|26,02
0|10505|62|3|31,36
0,1|10506|25|18|14,77
0,1|10506|70|14|30,75
0,15|10507|43|15|11,41
0,15|10507|48|15|31,95
0|10508|13|10|24,09
0|10508|39|10|64,02
0|10509|28|3|49,92
0|10510|29|36|132,34
0,1|10510|75|36|7,89
0,15|10511|4|15|23,86
0,15|10511|7|50|42,48
0,15|10511|8|10|21,97
0,15|10512|24|10|4,6
0,15|10512|46|9|12,55
0,15|10512|47|6|26,65
0,15|10512|60|12|5,25
0,2|10513|21|40|9,91
0,2|10513|32|50|17,99
0,2|10513|61|15|25,57
0|10514|20|39|88,03
0|10514|28|35|46,23
0|10514|56|70|38,21
0|10514|65|39|11
0|10514|75|50|7,37
0,15|10515|9|16|42,05
0|10515|16|50|8,68
0|10515|27|120|41,7
0,15|10515|33|16|28,01
0,15|10515|60|84|5,35
0,1|10516|18|25|27,25
0,1|10516|41|80|10,5
0|10516|42|20|14,57
0|10517|52|6|85,49
0|10517|59|4|8,3
0|10517|70|6|31,09
0|10518|24|5|4,33
0|10518|38|15|76,69
0|10518|44|9|76,81
0,05|10519|10|16|7,55
0|10519|56|40|40,73
0,05|10519|60|10|5,11
0|10520|24|8|4,68
0|10520|53|5|56,9
0|10521|35|3|6,24
0|10521|41|10|9,63
0|10521|68|6|12,78
0,2|10522|1|40|21,63
0|10522|8|24|20,93
0,2|10522|30|20|25,88
0,2|10522|40|25|18,25
0,1|10523|17|25|24,45
0,1|10523|20|15|83,94
0,1|10523|37|18|4,03
0,1|10523|41|6|10,4
0|10524|10|2|7,49
0|10524|30|10|27,25
0|10524|43|60|13
0|10524|54|15|34,23
0|10525|36|30|7,31
0,1|10525|40|15|18,46
0,15|10526|1|8|19,53
0|10526|13|10|26,24
0,15|10526|56|30|41,69
0,1|10527|4|15|23,53
0,1|10527|36|30|8,4
0|10528|11|3|29,37
0,2|10528|33|8|27,23
0|10528|72|9|10,66
0|10529|55|14|36,97
0|10529|68|20|13,73
0|10529|69|10|2,06
0|10530|17|40|24,2
0|10530|43|25|10,91
0|10530|61|20|27,71
0|10530|76|50|391,15
0|10531|59|2|7,9
0|10532|30|15|24,66
0|10532|66|24|18,72
0,05|10533|4|15|20,21
0|10533|72|24|11,03
0,05|10533|73|24|1,02
0|10534|30|10|26,31
0,2|10534|40|10|18,48
0,2|10534|54|10|36,95
0,1|10535|11|50|28,3
0,1|10535|40|10|19,4
0,1|10535|57|5|20,38
0,1|10535|59|15|7,66
0,25|10536|12|15|9,7
0|10536|31|20|8,91
0|10536|33|30|23,08
0,25|10536|60|35|4,87
0|10537|31|30|8
0|10537|51|6|92,14
0|10537|58|20|52,17
0|10537|72|21|11,12
0|10537|73|9|1,04
0|10538|70|7|30,36
0|10538|72|1|11,58
0|10539|13|8|24,89
0|10539|21|15|10,91
0|10539|33|15|27,64
0|10539|49|6|20,9
0|10540|3|60|19,1
0|10540|26|40|34,21
0|10540|38|30|84,24
0|10540|68|35|13,04
0,1|10541|24|35|4,22
0,1|10541|38|4|77,46
0,1|10541|65|36|9,25
0,1|10541|71|9|27,71
0,05|10542|11|15|28,21
0,05|10542|54|24|32,62
0,15|10543|12|30|10,4
0,15|10543|23|70|9,6
0|10544|28|7|43,45
0|10544|67|7|64,8
0|10545|11|10|26,37
0|10546|7|10|43,46
0|10546|35|30|6,06
0|10546|62|40|29,51
0,15|10547|32|24|17,84
0|10547|36|60|8,58
0,25|10548|34|10|8,73
0|10548|41|14|10,48
0,15|10549|31|55|7,7
0,15|10549|45|100|9,43
0,15|10549|51|48|97,66
0,1|10550|17|8|25,64
0|10550|19|10|9,52
0,1|10550|21|6|9,5
0,1|10550|61|10|25,65
0,15|10551|16|40|8,51
0,15|10551|35|20|5,66
0|10551|44|40|68,49
0|10552|69|18|1,92
0|10552|75|30|7,16
0|10553|11|15|30,29
0|10553|16|14|9,13
0|10553|22|24|3,28
0|10553|31|30|8,27
0|10553|35|6|6,25
0,05|10554|16|30|9,81
0,05|10554|23|20|9,42
0,05|10554|62|20|26,8
0,05|10554|77|10|13,62
0,2|10555|14|30|21,46
0,2|10555|19|35|8,5
0,2|10555|24|18|4,1
0,2|10555|51|20|101,71
0,2|10555|56|40|39,9
0|10556|72|24|11,72
0|10557|64|30|36,15
0|10557|75|20|7,88
0|10558|47|25|24,76
0|10558|51|20|91,43
0|10558|52|30|85,14
0|10558|53|18|56,33
0|10558|73|3|0,99
0,05|10559|41|12|8,72
0,05|10559|55|18|38,96
0|10560|30|20|25,62
0,25|10560|62|15|31,2
0|10561|44|10|68,89
0|10561|51|50|100,85
0,1|10562|33|20|26,32
0,1|10562|62|10|29,12
0|10563|36|25|8,08
0|10563|52|70|81,27
0,05|10564|17|16|25,14
0,05|10564|31|6|7,7
0,05|10564|55|25|35,45
0,1|10565|24|25|4,43
0,1|10565|64|18|35,24
0,15|10566|11|35|26,2
0,15|10566|18|18|26,36
0|10566|76|10|398,63
0,2|10567|31|60|8,67
0|10567|51|3|108,02
0,2|10567|59|40|8,06
0|10568|10|5|6,49
0,2|10569|31|35|8,53
0|10569|76|30|374,33
0,05|10570|11|15|30,78
0,05|10570|56|60|40,17
0,15|10571|14|11|21,99
0,15|10571|42|28|13,54
0,1|10572|16|12|9,98
0,1|10572|32|10|20,36
0|10572|40|50|19,43
0,1|10572|75|15|8,32
0|10573|17|18|24,37
0|10573|34|40|7,38
0|10573|53|25|65,61
0|10574|33|14|27,65
0|10574|40|2|19,29
0|10574|62|10|30,03
0|10574|64|6|35,48
0|10575|59|12|9,34
0|10575|63|6|19,71
0|10575|72|30|11,17
0|10575|76|10|406,08
0|10576|1|10|21,94
0|10576|31|20|8,25
0|10576|44|21|76,76
0|10577|39|10|62,72
0|10577|75|20|8,36
0|10577|77|18|11,95
0|10578|35|20|6,47
0|10578|57|6|19,63
0|10579|15|10|7,09
0|10579|75|21|7,87
0,05|10580|14|15|23,07
0,05|10580|41|9|9,74
0,05|10580|65|30|9,28
0,2|10581|75|50|7,79
0|10582|57|4|17,66
0|10582|76|14|394,52
0|10583|29|10|115,76
0,15|10583|60|24|5,12
0,15|10583|69|10|1,93
0,05|10584|31|50|9,15
0|10585|47|15|25,04
0,15|10586|52|4|81,61
0|10587|26|6|33,29
0|10587|35|20|6,42
0|10587|77|20|12,32
0,2|10588|18|40|26,3
0,2|10588|42|100|13,91
0|10589|35|4|6,08
0|10590|1|20|20,18
0,05|10590|77|60|14,06
0|10591|3|14|19,48
0|10591|7|10|38,56
0|10591|54|50|37,02
0,05|10592|15|25|5,92
0,05|10592|26|5|28,86
0,2|10593|20|21|83,19
0,2|10593|69|20|1,96
0,2|10593|76|4|418,95
0|10594|52|24|81,84
0|10594|58|30|45,63
0,25|10595|35|30|5,86
0,25|10595|61|120|25,98
0,25|10595|69|65|1,8
0,2|10596|56|5|35,91
0,2|10596|63|24|18,86
0,2|10596|75|30|7,47
0,2|10597|24|35|4,92
0|10597|57|20|18,18
0,2|10597|65|12|9,48
0|10598|27|50|41,49
0|10598|71|9|28,44
0|10599|62|10|30,51
0|10600|54|4|35,36
0|10600|73|30|1,17
0|10601|13|60|23,7
0|10601|59|35|8,66
0,25|10602|77|5|13,09
0|10603|22|48|3,33
0,05|10603|49|25|19,33
0,1|10604|48|6|33,41
0,1|10604|76|10|369,84
0,05|10605|16|30|9,46
0,05|10605|59|20|7,95
0,05|10605|60|70|5,44
0,05|10605|71|15|32,29
0,2|10606|4|20|22,86
0,2|10606|55|20|41,77
0,2|10606|62|10|29,31
0|10607|7|45|36,21
0|10607|17|100|24,36
0|10607|33|14|24,3
0|10607|40|42|16,67
0|10607|72|12|12,55
0|10608|56|28|41,26
0|10609|1|3|18,5
0|10609|10|10|6,57
0|10609|21|6|10,69
0,25|10610|36|21|7,58
0|10611|1|6|19,75
0|10611|2|10|20,55
0|10611|60|15|5,28
0|10612|10|70|7,1
0|10612|36|55|7,29
0|10612|49|18|18
0|10612|60|40|4,57
0|10612|76|80|400,94
0,1|10613|13|8|27,4
0|10613|75|40|8,52
0|10614|11|14|26,11
0|10614|21|8|10,92
0|10614|39|5|59,61
0|10615|55|5|41,85
0,05|10616|38|15|75,67
0|10616|56|14|40,11
0,05|10616|70|15|26,44
0,05|10616|71|15|30,29
0,15|10617|59|30|8,75
0|10618|6|70|3,87
0|10618|56|20|41,6
0|10618|68|15|12,33
0|10619|21|42|9,14
0|10619|22|40|3,27
0|10620|24|5|4,41
0|10620|52|5|83,08
0|10621|19|5|9,89
0|10621|23|10|9,64
0|10621|70|20|27,34
0|10621|71|15|32,47
0|10622|2|20|17,76
0,2|10622|68|18|12,93
0|10623|14|21|24,21
0,1|10623|19|15|9,35
0,1|10623|21|25|10,05
0|10623|24|3|4,37
0,1|10623|35|30|6,13
0|10624|28|10|44,86
0|10624|29|6|120,95
0|10624|44|10|82,54
0|10625|14|3|24,25
0|10625|42|5|14,92
0|10625|60|10|4,87
0|10626|53|12|63,44
0|10626|60|20|4,95
0|10626|71|20|33,16
0|10627|62|15|30,72
0,15|10627|73|35|1,18
0|10628|1|25|18,23
0|10629|29|20|119,49
0|10629|64|9|30,45
0,05|10630|55|12|35,28
0|10630|76|35|402,23
0,1|10631|75|8|7,03
0,05|10632|2|30|19,27
